Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
2,5/13/21,1866939.93,0,72.03,3.906,215.064978,7.682
26,3/30/22,713050.4,0,46.58,3.882,137.5571935,7.467
41,2/18/21,1139891.19,0,21.04,3.045,192.8873919,6.252
7,2/11/21,525074.48,1,13.38,3.052,191.9676544,8.818
14,9/2/21,2015457.34,0,66.37,3.855,186.5627341,8.625
4,5/25/22,1950604.61,0,52.59,3.754,131.7962,4.077
25,6/4/20,1063328.04,0,74.19,2.807,136.2339176,7.058
26,3/19/20,968706.57,0,41.37,2.877,135.6040647,8.483
35,6/15/22,896929.64,0,80.71,3.341,142.1926942,8.665
27,10/5/22,1681688.39,0,46.62,3.914,142.3518133,8.745
37,4/15/21,506083.45,0,50.52,3.571,214.5702273,8.051
11,10/21/21,1273584.4,0,75.26,3.277,220.4058715,7.197
33,7/6/22,290526.4,0,78.68,4.224,131.0123333,6.303
13,5/20/21,2052616.52,0,51.51,4.068,184.5620152,8.521
31,2/18/21,1304835.14,0,54,3.088,214.2279495,7.832
2,10/12/22,1998478.06,0,69.17,3.607,222.8233836,6.177
6,9/10/20,1488444.72,1,89.88,2.565,210.0345726,7.306
43,6/22/22,281097.01,0,54.45,3.668,130.1302,5.774
27,4/8/21,2379115.4,0,53.26,4.192,138.4976,7.854
7,3/26/20,560768.27,0,46.97,2.75,189.3130554,9.017
14,4/23/20,2232269.92,0,51.13,2.801,181.443416,8.899
12,11/11/21,955118.84,0,43.26,3.677,128.5110667,14.313
20,7/15/21,1867048.14,0,71.89,3.85,135.2832921,4.287
9,2/12/20,552263.68,1,51.08,2.568,214.5420099,6.568
12,12/30/21,1843544.67,1,38.89,3.477,126.064,12.19
40,7/13/22,1035273.55,0,74.29,3.527,138.26377,4.156
35,10/22/20,1182842.22,0,70.81,2.792,136.8117182,9.765
34,2/24/22,927751.13,0,67.22,3.523,130.7966472,9.657
44,1/6/22,276131.1,0,49.85,3.947,131.1770667,5.621
17,7/29/21,573551.34,0,68.04,3.991,129.1158,6.734
1,12/23/21,1230759.04,0,48.18,3.112,217.5097087,7.441
40,7/30/20,816325.39,0,76.27,2.77,132.5933871,5.306
11,9/10/20,1566480.9,1,73.57,2.565,213.068422,7.346
45,8/5/21,706347.32,0,73.55,3.984,186.5384379,8.625
22,6/29/22,1093054.5,0,81.78,3.246,142.1001258,7.571
32,5/25/22,1127565.05,0,67.41,3.765,197.627632,8.09
18,6/8/22,1154057.79,0,70.32,3.774,138.1176167,8.554
2,11/25/21,2578786.66,1,53.7,3.436,219.108013,7.574
3,7/29/21,435076.58,0,85.9,3.575,218.6280295,7.567
32,12/23/21,1020846.26,0,45.33,3.182,192.9199813,8.711
2,10/8/20,2100308.73,0,61.56,2.615,215.4716948,7.564
5,3/26/20,285970.47,0,53.86,2.732,212.4761004,6.496
8,8/17/22,929619.8,0,77.06,3.577,222.3512615,6.577
5,6/24/21,360631.54,0,80.93,3.594,213.1406815,6.385
5,8/3/22,324923.87,0,85.01,3.412,222.5846186,5.603
36,6/11/20,472802,0,85.15,2.668,210.9320454,8.3
28,3/30/22,1205174.46,0,69.27,4.054,137.8266333,11.627
35,6/15/22,830729.65,0,80.75,3.658,142.2750124,8.839
41,7/15/21,1260873.21,0,62.07,3.575,195.4690647,6.904
27,1/7/21,1008690.07,0,18.74,3.391,136.5765846,7.243
4,12/2/21,2272493.21,0,48.75,3.385,129.8959667,5.143
43,12/17/20,973202.35,0,31.61,2.869,132.7706667,5.287
40,2/12/20,807987.05,1,17.99,2.717,131.0846421,5.398
10,10/1/20,1158922.13,0,70.03,2.903,132.3239355,5.336
44,2/19/20,273500.77,0,40.91,2.581,126.5069857,8.61
28,2/19/20,1365866.66,0,25.34,2.857,131.646,8.271
28,3/16/22,1218715.71,0,67.68,4.054,137.5973971,10.12
24,7/13/22,1391783.43,0,78.65,4.023,137.683,8.153
28,4/9/20,1515835.95,0,61.1,2.86,132.680001,9.299
39,10/21/21,1407779.09,0,66.66,3.571,214.0223264,7.746
41,6/8/22,1242035.9,0,73.94,3.407,197.7657579,6.942
43,8/10/22,598498.07,0,75.51,3.412,214.8888871,9.561
9,6/15/22,535387.1,0,86.43,3.393,223.4336647,5.679
29,5/7/20,488298.79,0,68.68,2.935,132.9248385,10.16
3,9/3/20,383585.89,0,82.85,2.575,214.805755,7.346
38,8/26/21,353210.45,0,98.05,3.923,129.2801581,13.503
26,3/12/20,2165085.27,0,38.49,2.766,204.119824,8.107
27,3/16/22,1536694.77,0,53.52,4.025,137.8361935,8.089
14,5/20/21,1978590.11,0,51.85,4.102,185.7973184,8.521
5,3/16/22,610838.78,0,69.98,3.727,215.6447746,6.968
30,3/19/20,432556.4,0,53.36,2.691,210.0149038,8.324
30,8/5/21,481196.98,0,94.08,3.644,215.0563593,7.523
10,9/28/22,1847684.05,0,60.98,3.889,131.645,7.574
36,4/15/21,338582.35,0,86.61,3.573,214.2367939,8.077
7,8/20/20,614477.96,0,66.76,2.704,190.2364661,8.966
1,5/13/21,1361115.21,0,71.28,3.899,214.8107725,7.982
43,3/23/22,600992.09,0,55.93,4.253,213.1127227,9.661
14,12/30/21,2192748.55,1,38.19,3.583,189.6600178,8.543
19,2/26/20,1279983.83,0,35.98,2.88,131.5171134,8.35
33,9/7/22,237381.7,1,93.46,4.111,130.9325484,7.187
23,8/6/20,1392524.58,0,79.05,2.901,132.5303071,5.405
9,6/10/21,648524.81,0,56.07,3.669,218.3577301,6.38
7,8/26/21,544045.29,0,89.93,3.592,218.7216358,6.405
19,9/23/21,1412529.79,0,69.65,3.583,136.6156,7.806
21,11/4/21,888856.78,0,43.17,3.698,217.1050059,7.831
14,10/14/21,1865024.23,0,36.7,3.517,188.4285454,8.523
40,3/11/21,837481.34,0,29.58,3.42,133.1781429,5.974
18,11/19/20,1067177,0,45.79,2.961,131.7176,8.275
29,4/1/21,495128.89,0,70.14,3.588,137.1938387,9.167
27,2/4/21,925991.87,0,17.3,3.042,133.9541435,7.907
19,7/22/21,1544450.96,0,72.7,3.517,135.4931072,7.806
36,3/26/20,468340.21,0,49.2,2.791,210.1147981,8.276
23,11/19/20,1210304.71,0,58.17,2.953,126.6052857,10.099
37,5/14/20,406649.28,0,73.68,2.884,209.1206864,8.464
15,12/10/20,667124.22,0,27.34,3.132,132.616401,8.049
18,4/27/22,1078675.79,0,40.46,3.685,138.1265,8.304
20,4/1/21,3226066.17,0,35.66,3.633,204.0821004,7.187
25,4/8/21,682728.37,0,70.86,3.922,208.9521635,7.287
42,3/4/21,508626.39,0,61.56,3.498,127.0651545,8.444
5,10/8/20,332365.42,0,65.09,2.726,215.6137445,6.763
5,11/25/21,314057.6,1,54.23,3.236,217.1170263,6.353
39,1/27/22,1370897.46,0,51.06,3.367,219.6464204,7.444
19,7/16/20,1212390.26,0,74.07,2.867,132.9289,8.099
27,4/29/21,1628910.45,0,74.4,3.893,141.123831,8.023
32,1/28/21,1143813.39,0,31.04,2.91,190.4709921,8.018
9,11/12/20,513683.3,0,55.81,2.728,215.6456438,6.563
22,2/4/21,975428.97,0,36.64,3.632,140.9541855,7.503
17,2/19/20,971003.02,0,29.61,2.746,126.4640858,6.547
43,8/6/20,766879.07,0,73.1,2.624,203.4855986,9.816
8,3/11/21,913211.52,0,67.53,3.288,220.4255333,5.123
1,4/20/22,1409305.79,0,74.83,3.696,225.0763028,6.664
22,4/8/21,974522.33,0,37.17,3.804,138.9176,8.252
34,7/6/22,934159.62,0,82.87,3.427,130.8195506,9.285
6,2/25/21,2130694.97,0,57.07,3.061,219.6502863,6.951
44,9/21/22,303667.08,0,81.43,3.649,130.7595,5.403
37,7/29/21,549153.97,0,83.76,3.586,214.8389155,8.3
9,4/20/22,515023.49,0,63.66,3.212,225.3702073,5.969
34,7/27/22,940620.59,0,74.2,3.354,130.7095474,9.285
8,2/25/21,899667.86,0,33.5,3.243,221.4330605,6.128
12,3/16/22,943159.79,0,66.75,4.403,131.6537441,12.187
22,1/7/21,1037401.12,0,29.8,3.261,133.1900484,9.131
16,7/27/22,1366726.6,0,68.88,3.624,197.9799582,6.932
26,8/13/20,1059847.05,0,69.91,2.894,132.633,8.175
20,8/27/20,1945185.05,0,76.85,2.765,205.8397313,7.527
17,2/11/21,853410.1,1,19.58,3.254,127.7566819,6.744
15,7/13/22,544640.14,0,74.11,3.946,138.2632,8.193
5,5/13/21,279955.37,0,42.15,3.955,212.1240651,6.68
27,10/26/22,1927754.64,0,59.99,3.992,142.8101123,8.261
4,11/26/20,2069546.17,1,38.67,2.78,126.6692667,7.127
27,8/5/21,1731543.04,0,90.28,4.044,139.0959667,7.722
14,10/26/22,1913292.29,0,53.95,3.585,196.3640313,8.953
23,11/12/20,1412163.9,0,39.26,2.932,131.863129,5.886
22,3/19/20,968491.05,0,41.84,2.848,131.8218807,8.099
45,10/14/21,711968.42,0,64.4,3.541,185.6360118,8.521
10,4/8/21,1897792.46,0,45.85,3.828,128.9195,8.494
2,10/26/22,1849245.71,0,53.24,3.5,220.9717638,6.128
8,2/17/22,817868.09,0,55.57,3.351,223.4858196,5.865
42,2/24/22,515839.13,0,59.8,3.738,130.8572931,7.545
7,6/25/20,483241.79,0,49.32,2.75,189.4376415,9.014
13,10/12/22,1553950.16,0,48.73,4.128,138.1143871,8.143
16,2/25/21,559096.29,0,40.8,3.285,192.1613877,6.063
44,1/14/21,447389.93,0,29.95,3.115,129.7425864,6.078
19,12/2/21,1820746.71,0,23.24,3.615,136.4318967,7.867
45,11/25/21,811196.17,1,42.38,3.572,188.680005,8.521
30,12/30/21,461496.86,1,38,3.119,218.8551635,7.441
23,3/9/22,1468922.13,0,39.14,3.956,137.3013876,4.161
41,12/17/20,1219996.96,0,39.55,2.862,191.9751865,7.599
18,11/25/21,1885507.67,1,41.06,3.119,136.4715,8.971
38,2/12/20,486609.52,1,27.87,2.572,126.4362675,13.033
21,12/23/21,554231.94,0,45.18,3.448,217.0446797,7.466
27,3/4/21,1986871.17,0,48.81,3.87,137.4348919,7.725
11,8/6/20,1355358.59,0,82.87,2.623,214.5505277,7.346
3,6/10/21,1405515.36,0,75.74,3.899,215.3045972,7.684
31,9/28/22,1371891.04,0,70.16,3.561,221.2785422,6.565
40,4/13/22,999675.29,0,40.25,4.027,137.8789,4.125
38,9/28/22,434541,0,81.58,3.796,131.243,10.926
19,6/24/21,1808503.5,0,60.51,3.859,135.0532667,7.658
19,9/24/20,1434193.38,0,69.32,3.988,132.3805416,8.196
4,5/18/22,1890453.18,0,60.64,3.782,131.1873333,4.675
30,4/29/21,425106.22,0,85.59,3.663,217.5749746,7.872
13,10/7/21,2177456.03,0,53.21,3.495,129.0938,7.193
30,11/25/21,437515.54,1,59.77,3.622,218.9968441,7.441
37,3/4/21,553633.87,0,34.59,3.33,213.4847927,8.328
8,8/31/22,834848.75,0,85.77,3.644,225.6426798,6.401
5,2/18/21,299904.8,0,30.74,3,212.933388,6.624
11,3/19/20,1413833.72,0,62.73,3.574,219.3165606,7.341
32,4/2/20,1054900.27,0,60.87,2.77,189.5100597,8.963
7,6/3/21,598256.81,0,83.05,3.628,215.8264114,6.381
29,4/15/21,483240.44,0,50.48,4.171,134.767774,9.989
25,4/20/22,772883.95,0,48.84,3.866,214.2539977,7.939
16,3/12/20,484251.59,0,23.31,2.587,189.502147,7.942
41,9/24/20,1280369.59,0,57.86,2.588,190.0904218,7.836
23,6/22/22,1411801.27,0,82.99,3.586,130.7919357,7.386
33,2/4/21,272514.8,0,48.87,2.93,127.4982255,10.521
23,1/7/21,1353353.15,0,15.23,3.238,133.3807429,5.774
1,5/27/21,1384076.6,0,83.37,3.882,215.3848979,7.802
7,3/12/20,553234.28,0,33.6,2.738,189.9406954,9.014
1,8/3/22,1539345.09,0,89.26,3.417,225.9908151,6.604
5,2/19/20,285563.52,0,23.16,2.734,212.4016956,6.568
34,6/3/21,990253.84,0,76.81,3.758,129.9095406,10.681
18,10/8/20,1166804.18,0,62.18,2.813,132.02465,9.269
18,1/27/22,1984992.23,0,37.96,3.69,130.1495771,6.104
25,5/11/22,709345.03,0,75.42,3.885,214.4777905,6.289
26,9/16/21,1093495.91,0,61.28,3.706,136.442022,7.767
22,8/24/22,907166.76,0,71.41,3.624,142.3082248,7.87
14,4/20/22,2065435.2,0,72.35,3.666,191.0310495,8.564
1,3/12/20,1642644.84,0,54.98,2.728,212.0679443,7.058
37,10/29/20,518075.65,0,81.84,2.737,210.7119686,8.36
43,4/2/20,640532.38,0,67.99,3.026,202.6612067,9.893
39,12/10/20,1359624.14,0,28.29,3.124,212.6792092,8.163
33,7/16/20,270495.56,0,98.32,3.101,126.4592,9.499
5,10/21/21,238491.38,0,60.02,3.506,216.0702904,6.425
9,10/21/21,529881.5,0,67.43,3.283,220.9830073,6.416
44,4/8/21,324906.78,0,67.14,3.625,128.0298067,6.397
33,9/14/22,264802.57,0,93.22,3.711,130.9223506,7.567
1,9/14/22,1675348.04,0,73.69,3.739,222.2153141,6.903
9,10/15/20,304405.3,0,78.9,2.72,215.2646904,6.56
11,8/17/22,1386702.09,0,84.52,3.582,225.4334419,6.565
4,9/28/22,1914839.74,0,65.36,3.314,130.7192,4.077
22,2/26/20,1163810.47,0,29.48,2.812,131.6883613,8.328
31,11/25/21,1364750.72,1,53.07,3.462,216.4410041,7.852
35,6/18/20,832223.75,0,69.88,2.988,136.4913248,8.861
8,6/18/20,863740.29,0,81.63,2.607,213.9025829,6.496
19,10/29/20,1654753.23,0,59.36,2.961,132.7019333,8.067
19,11/5/20,1309415.13,0,43.82,3.112,132.3292667,8.067
44,6/17/21,322139.55,0,76.74,3.904,129.0646772,6.774
19,1/20/22,1344451.22,0,31.32,3.531,136.7518388,7.967
10,10/21/21,1005990.14,0,43.16,3.684,129.8185003,6.397
21,4/2/20,927724.24,0,46.05,2.726,204.6510037,7.838
10,12/3/20,1032562.31,0,42.35,3.044,126.7011333,9.003
11,3/25/21,1202077.14,0,67.37,3.469,214.4432769,8.553
4,11/26/20,2244709.68,1,52.22,2.782,126.6872839,7.127
36,9/16/21,545504.56,0,79.46,3.566,214.4739105,8.395
5,4/16/20,296255.02,0,68.78,2.703,210.2240652,6.465
42,12/31/20,545737.78,1,60.65,2.943,126.0896774,9.12
14,11/18/21,2010117.69,0,49.48,3.555,188.8124292,8.523
22,3/11/21,943448.62,0,37.27,3.373,137.7541295,8.252
44,12/3/20,269205.82,0,42.79,2.833,126.7360355,7.62
35,10/19/22,842180.47,0,65.66,4.004,142.8998128,8.876
27,4/22/21,1812343.1,0,56.67,4.112,142.9005432,8.023
11,10/19/22,1366114.4,0,76.27,3.597,223.0189466,6.175
34,2/17/22,980855.89,0,36.55,3.793,137.5458097,9.659
1,6/18/20,1533783.76,0,80.89,2.638,210.0291058,7.801
29,4/29/21,794372.89,0,56.27,3.989,134.4357333,9.766
33,9/28/22,296484.09,0,82.24,4.111,131.0400667,7.526
41,11/25/21,1102199.09,1,38.7,3.679,196.9586055,7.441
42,6/10/21,644611.08,0,88.78,3.651,129.1147097,8.252
10,8/26/21,1761797.78,0,88.04,4.103,129.2432,8.494
5,8/10/22,322883.25,0,84.44,3.425,220.6873162,5.623
22,2/18/21,997239.04,0,35.07,3.223,133.3701429,8.027
24,2/10/22,1209060.49,1,36.08,3.853,137.1196732,8.653
9,12/17/20,318005.09,0,57.28,2.712,215.1722596,6.568
21,7/29/21,653722.81,0,90.49,3.621,215.458863,7.852
32,12/23/21,1238753.81,0,45.95,3.372,196.3767667,8.913
14,9/2/20,1776918.08,0,65.63,2.851,182.8296167,8.942
6,3/4/21,476175.11,0,17.14,3.238,196.2645875,8.818
27,2/19/20,2001384.21,0,35.94,2.945,135.7270645,8.488
15,8/3/22,653315.09,0,71.11,3.847,138.1795355,8.123
15,9/17/20,671345.45,0,73.38,2.815,132.73645,8.099
27,1/28/21,1816811.09,0,34.8,3.513,140.4206317,7.705
21,11/4/21,708097.65,0,60,3.297,216.3698548,7.441
16,8/10/22,525862.22,0,66.93,3.654,197.2960697,6.061
10,1/6/22,834855.99,0,59.26,3.667,130.3592258,7.545
23,8/6/20,572826.2,0,76.64,2.624,204.8398452,7.524
17,10/28/21,994913.67,0,46.41,3.548,129.8155333,6.877
21,8/31/22,708102.29,0,78.47,3.62,221.8753894,6.565
39,9/3/20,1350912.93,0,84,2.592,209.1288501,8.36
18,8/10/22,1057841.3,0,66.68,3.704,138.7939,8.935
36,4/27/22,1558375.83,0,61.51,3.874,220.3424962,6.879
35,7/2/20,808343.05,0,72.62,2.713,136.6013848,8.861
11,5/13/21,1400995.61,0,87.13,3.652,218.8490378,7.551
29,10/22/20,455436,0,62.29,2.931,132.835709,10.16
8,2/19/20,750579.9,0,43.91,2.514,210.5756453,8.324
43,10/12/22,584662.27,0,61.78,4.308,219.9612174,8.663
11,3/25/21,1363719.35,0,64.54,3.493,128.116,7.744
29,12/17/20,1651019.23,0,20.72,3.209,132.6304619,10.251
37,1/7/21,576879.13,0,50.19,2.908,210.283941,8.395
12,2/17/22,879410.65,0,31.27,3.829,130.2502,12.187
21,1/13/22,949619.2,0,58.44,3.261,219.421528,7.057
24,9/28/22,1677450.31,0,61.54,3.949,138.50338,8.453
33,12/3/20,235736.8,0,55.41,3.046,126.7013333,9.265
12,7/27/22,935969.84,0,62.09,3.68,138.2033871,8.552
29,1/27/22,492451.64,0,39.91,3.007,137.3566159,7.467
6,2/4/21,1584905.5,0,44.82,2.982,214.2773927,6.558
9,12/9/21,741778.35,0,50.69,3.172,219.8620277,6.554
29,3/19/20,498757,0,41.31,2.782,131.73509,10.164
7,9/28/22,500803.52,0,51.46,3.566,198.8960171,7.872
3,4/13/22,430630.3,0,69.03,3.861,224.375009,6.664
39,4/13/22,1306094.28,0,66.03,3.897,220.7516934,6.921
30,12/16/21,401955.05,0,28.54,3.191,215.7347985,8.058
28,3/23/22,1255334.21,0,46.92,4.282,130.9671971,12.187
19,11/5/20,1497630.03,0,35.76,2.932,131.91009,8.066
21,9/10/20,671859.42,1,89.23,2.565,210.9920436,8.099
7,8/13/20,506498.17,0,87.4,2.65,189.8690487,8.963
8,1/28/21,801686.74,0,14.68,2.988,214.6161319,6.262
5,11/12/20,353798.35,0,53.49,2.735,211.3151532,6.468
14,10/7/21,2507139.5,0,70.83,3.822,188.6275914,8.523
33,8/6/20,260489.57,0,90.39,3.029,126.082459,9.199
39,2/3/22,1554745.7,0,55.59,3.494,219.6479573,7.956
14,10/5/22,2155135.6,0,55.45,3.889,192.3203839,8.575
12,3/4/21,1024207.22,0,40.55,3.598,128.7035481,13.078
21,1/21/21,670179.68,0,32.86,2.927,211.0501841,8.028
21,9/14/22,603553.04,0,79.59,3.634,222.5743257,6.565
37,12/30/21,569747.62,1,42.83,3.129,218.4573605,7.716
23,2/12/20,1414323.28,1,34.83,2.728,131.5892771,5.892
25,12/10/20,2323431.11,0,38.29,3.311,204.697848,7.784
17,10/29/20,405090.72,0,37.6,2.939,126.3810645,6.885
13,8/31/22,2074871.21,0,78.35,3.861,130.7373713,5.765
8,2/19/20,900856.78,0,24.34,2.532,215.8474023,6.262
4,1/14/21,2875347.83,0,38.79,2.979,127.3946454,6.316
9,4/20/22,536969.15,0,64.23,3.887,224.5675415,5.279
36,3/30/22,237022.82,0,70.9,3.861,220.3293358,6.925
27,10/8/20,1691212.58,0,52,3.13,132.7267667,8.085
16,12/3/20,452809.06,0,26.68,2.877,191.8718674,6.986
2,7/23/20,1800342.69,0,83.35,3.01,211.0769576,8.2
42,10/12/22,549509.24,0,74.58,4.403,131.193,6.152
32,4/22/21,1078882.2,0,48.33,3.652,192.3944618,8.595
30,12/10/20,1504260.46,0,45.64,2.668,210.0047071,8.129
40,7/23/20,997000.19,0,71.59,2.706,132.5221621,5.326
45,2/10/22,619545.61,1,40.32,3.699,189.8639755,8.724
14,4/15/21,2063669.36,0,52.6,3.969,185.721932,8.521
24,7/30/20,1300069.88,0,76.9,2.901,132.5643171,8.117
31,7/29/21,1485841.06,0,91.57,3.621,215.6568711,7.852
12,7/20/22,1043260.65,0,77.91,3.556,130.7016677,8.962
44,8/13/20,294959.34,0,74.95,2.834,126.2684516,7.372
34,10/19/22,989427.54,0,59.89,3.514,131.1496774,9.672
11,12/24/20,1480697.43,0,58.12,2.821,212.1013519,7.139
15,2/5/20,506082.47,0,25.79,2.777,131.8526187,8.167
27,6/3/21,945574.11,0,56.32,3.751,142.0295328,8.745
22,4/16/20,1481034.79,0,67.62,2.909,131.513,10.12
13,7/29/21,1779761.08,0,63.53,3.644,129.1125,8.877
44,9/10/20,287859.64,1,74.21,2.94,126.4114333,7.904
14,5/6/21,951021.39,0,69.81,3.991,129.0256,10.581
39,10/29/20,1493020.09,0,75.36,2.961,204.4416913,8.464
25,2/25/21,906503.97,0,22.78,3.266,133.393871,8.948
12,7/9/20,996052.07,0,72.64,2.812,126.1619022,8.199
12,1/6/22,1058399.2,0,22.98,3.455,130.1413794,12.197
31,12/3/20,1474341.2,0,55.21,2.708,215.6372574,7.564
15,12/10/20,634455.22,0,26.77,3.103,132.7383516,8.067
16,4/16/20,415530.63,0,30.69,2.775,190.5576556,6.868
5,10/29/20,292422.1,0,84.84,2.941,215.0805623,6.464
18,2/19/20,1092127.51,0,23.45,2.742,131.677,9.209
6,5/20/21,1317513.69,0,82.78,3.719,217.5991078,6.255
10,11/25/21,1727915.52,1,45.83,3.236,129.9864,8.392
35,9/30/21,924160.63,0,68.49,3.805,140.4709857,8.685
32,7/13/22,1190587.84,0,73.94,3.724,199.1610279,7.874
4,12/16/21,2763984.75,0,41.55,3.119,129.99855,6.143
28,3/9/22,1205728.77,0,43.51,3.849,137.2445871,12.18
27,3/9/22,1836282.99,0,41.53,4.182,142.6419293,8.409
41,3/2/22,1129534.29,0,38.72,3.683,197.9765859,6.549
6,3/23/22,1467541.14,0,61.56,3.785,222.4012131,6.832
23,1/13/22,1407508.06,0,24.8,3.667,136.763,4.421
7,5/7/20,569270.57,0,59.87,2.735,189.3852601,9.099
45,1/20/22,874645.36,0,33.91,3.532,189.2126866,8.424
33,5/18/22,272101.33,0,72.89,4.088,131.0453226,7.196
29,8/17/22,590940.89,0,81.51,3.332,130.7308,10.926
44,10/28/21,328298.33,0,44.81,3.742,129.7109915,6.926
2,9/10/20,1660630.96,1,80.84,2.56,211.16831,8.099
3,9/21/22,355061.77,0,75.84,3.733,225.1670623,5.401
33,1/20/22,277476.54,0,46.1,3.61,130.5372164,7.403
13,2/5/20,2243451.49,0,31.07,2.841,126.5552857,8.679
27,10/14/21,1332759.43,0,66.82,3.671,140.4386679,7.906
14,9/7/22,2376237.07,1,76.52,3.921,191.4388044,8.667
4,8/6/20,2058330.29,0,81.27,2.627,126.5143806,7.946
43,7/9/20,627209.06,0,78.17,2.863,203.6085571,9.816
21,2/3/22,770752.59,0,34.93,3.07,212.0128124,8.021
1,7/16/20,1432978.95,0,85.29,2.623,214.6653134,7.348
28,6/15/22,1285858.18,0,74.11,4.449,130.8492333,11.627
3,1/13/22,315841.05,0,51.27,3.264,223.2759216,5.664
33,3/2/22,226702.36,0,79.16,4.23,130.9493448,7.603
33,10/8/20,224806.96,0,67.01,2.561,126.2765484,9.265
18,4/29/21,1130234.2,0,58.52,3.611,134.4403,8.975
25,10/19/22,685679.8,0,42.6,4.055,212.1590127,7.232
43,10/19/22,593701.76,0,71.97,3.5,219.2053387,7.144
45,7/30/20,762045.15,0,85.3,2.69,182.673318,8.899
19,6/25/20,495092.43,0,52.11,2.664,132.8726829,8.36
17,2/18/21,879483.2,0,16.53,3.265,127.9412521,6.162
11,6/15/22,1339767.01,0,85.81,3.393,225.4136876,6.664
22,7/29/21,975978.34,0,72.66,3.811,139.7837313,8.952
11,2/10/22,1364634.01,1,54.49,3.409,224.9641043,6.833
11,11/19/20,1204116.6,0,62.86,2.718,214.4402401,7.785
1,11/12/20,1897091.46,0,59.11,2.748,211.9078019,7.108
16,12/2/21,275394.59,0,34.71,3.786,192.6147359,6.434
7,10/7/21,723619.3,0,67.65,3.455,195.7974743,8.848
31,2/26/20,1351916.4,0,44.97,2.562,219.4640655,8.354
29,6/15/22,554275.84,0,56.16,3.775,138.1765,9.14
10,8/31/22,1739875.35,0,75.27,3.685,138.1657,8.984
26,10/19/22,1048859.24,0,45.1,4.07,142.7259674,8.563
5,4/9/20,292337.5,0,81.44,2.669,214.032656,6.442
32,10/5/22,920357.09,0,68.87,4.025,142.8083133,7.876
24,2/26/20,1525174.67,0,41.02,2.983,131.646,8.326
4,1/7/21,2018836.36,0,46.57,3.487,126.5517042,5.143
14,6/17/21,2065360.72,0,79.81,3.867,186.1359377,8.521
33,2/17/22,261690.02,0,52.83,3.537,130.4136007,7.603
